"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"-4","RID","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","Participant roster ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","VISCODE","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","Visit code","-4","-4","T","-4","-4","-4","-4","-4","","-4","","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","VISCODE2","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","Translated visit code","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","Months from baseline rounded to nearest 6 months","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","UID","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","","-4","-4","T","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","EXAMDATE","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","Date of FDG scan","-4","-4","D","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","ROINAME","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","Location of Meta ROI (for methods, see Landau et al., Neurology, 2010 or email slandau@berkeley.edu)","-4","-4","T","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","ROILAT","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","Laterality of ROI","-4","-4","T","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","MEAN","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","mean of FDG-PET within ROI","-4","-4","N","3","3","-4","-4","-4","glucose metabolism normalized to pons","-4","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","MEDIAN","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","median of FDG-PET within ROI","-4","-4","N","3","3","-4","-4","-4","glucose metabolism normalized to pons","-4","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","MODE","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","mode of FDG-PET within ROI","-4","-4","N","3","3","-4","-4","-4","glucose metabolism normalized to pons","-4","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","MIN","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","min of FDG-PET within ROI","-4","-4","N","3","3","-4","-4","-4","glucose metabolism normalized to pons","-4","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","MAX","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","max of FDG-PET within ROI","-4","-4","N","3","3","-4","-4","-4","glucose metabolism normalized to pons","-4","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","STDEV","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","standard deviation of FDG-PET within ROI","-4","-4","N","3","3","-4","-4","-4","glucose metabolism normalized to pons","-4","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","NANVOX","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","total number of zero or NaN voxels within ROI","-4","-4","N","7","0","-4","-4","-4","voxels","-4","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
"-4","TOTVOX","UCBERKELEYFDG","UC Berkeley - FDG analysis","-4","total number of voxels within ROI","-4","-4","N","7","0","-4","-4","-4","voxels","-4","-4","-4","-4","-4","-4","-4","-4","-4","0","-4","-4","-4","-4","-4","-4","-4","2013-04-03 14:04:30.0"
